AIRLINE,AIRLINE_CODE,ORIGIN,DEST,TAXI_OUT,TAXI_IN,CANCELLED,CANCELLATION_CODE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
American Airlines Inc.,AA,SNA,ORD,27.0,19.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,SEA,SAN,25.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,PNS,IAH,10.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,ORF,DFW,12.0,15.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,LIH,SJC,11.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mesa Airlines Inc.,YV,PHX,ONT,17.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,LAX,DAL,22.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,IAH,DTW,15.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,MCI,MDW,10.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,PHX,SEA,9.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,IAH,SLC,29.0,4.0,0.0,,48.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,BZN,ATL,10.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mesa Airlines Inc.,YV,OAK,PHX,11.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,VCT,IAH,7.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,BUR,SJC,11.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mesa Airlines Inc.,YV,LFT,DFW,14.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,CMH,PHL,11.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
JetBlue Airways,B6,JFK,MCO,13.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,MIA,ATL,13.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,ORD,BOS,30.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
JetBlue Airways,B6,MSY,FLL,11.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,ATL,LGA,11.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
ExpressJet Airlines LLC d/b/a aha!,EV,IAH,BTR,18.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,SNA,OAK,10.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,BWI,RSW,13.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,9E,DTW,IND,16.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,AUS,DEN,14.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,SEA,GEG,19.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,COS,DEN,15.0,17.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,EWR,BNA,19.0,11.0,0.0,,0.0,0.0,7.0,0.0,12.0
United Air Lines Inc.,UA,JAC,ORD,13.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,MSP,DFW,30.0,13.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,STL,MDW,12.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mesa Airlines Inc.,YV,HSV,DFW,13.0,13.0,0.0,,0.0,0.0,0.0,0.0,0.0
Horizon Air,QX,SEA,BOI,13.0,4.0,0.0,,0.0,19.0,1.0,0.0,40.0
Republic Airline,YX,RSW,CLE,15.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,BOS,EWR,15.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,STL,PHX,7.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,DFW,XNA,14.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,JAN,ATL,18.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,IAD,SAT,17.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0
JetBlue Airways,B6,MCO,SJU,13.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
Allegiant Air,G4,FNT,PGD,22.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,F9,CHS,PHL,14.0,13.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,CHS,EWR,9.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,PBI,ATL,55.0,6.0,0.0,,0.0,0.0,43.0,0.0,142.0
SkyWest Airlines Inc.,OO,LAX,LAS,24.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,DFW,GGG,32.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,CLT,LAS,16.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,DFW,DAY,12.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,MSP,LGA,12.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,DRO,DEN,12.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,KTN,JNU,17.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,PHX,IAD,14.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,PIT,JFK,12.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,ATL,BOS,12.0,14.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,BWI,SDF,11.0,3.0,0.0,,15.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,DEN,CPR,17.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,SEA,SAN,18.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,9E,ATL,CAE,21.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,SFO,CLE,25.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,EWR,ORD,23.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,ORD,PWM,14.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,9E,ATL,LIT,8.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,CLT,DAB,14.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,IND,PHL,12.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,LAX,ORD,14.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,SLC,DTW,14.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,MCO,IAH,13.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Allegiant Air,G4,AUS,FSD,21.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Allegiant Air,G4,SFB,ALB,18.0,5.0,0.0,,0.0,0.0,1.0,0.0,15.0
Delta Air Lines Inc.,DL,MSP,GRR,11.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,CLT,GRR,19.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,MSP,DCA,12.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,SEA,GEG,14.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,MSP,DTW,9.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,DEN,GEG,13.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,DFW,DAY,20.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,CLT,FWA,35.0,5.0,0.0,,0.0,0.0,18.0,0.0,6.0
Southwest Airlines Co.,WN,MCO,BWI,6.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0
Allegiant Air,G4,FLL,TYS,19.0,6.0,0.0,,0.0,20.0,0.0,0.0,180.0
American Airlines Inc.,AA,DFW,SRQ,11.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,BOS,SAN,40.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,TYS,CLT,17.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,TUS,SFO,15.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,IAD,DEN,25.0,30.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,TPA,DEN,11.0,13.0,0.0,,0.0,0.0,5.0,0.0,61.0
SkyWest Airlines Inc.,OO,HSV,DFW,15.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,9E,DTW,DSM,15.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,STL,MCI,9.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Hawaiian Airlines Inc.,HA,ITO,OGG,9.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,MAF,IAH,12.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,MCO,SJU,16.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,F9,DEN,MCO,16.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,MSP,BDL,39.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,CRP,DFW,15.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,HHH,DFW,10.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,LAS,ABQ,11.0,5.0,0.0,,61.0,0.0,0.0,0.0,7.0
Republic Airline,YX,PIT,DTW,13.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Allegiant Air,G4,BNA,PIT,9.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,LGA,MEM,17.0,5.0,0.0,,33.0,0.0,0.0,0.0,0.0
